date,holiday,sales_promotion,competitor_spend,instagram_spend,google_ads_spend,tv_spend,youtube_spend,newspaper_spend,influencer_spend,ott_spend,sales,instagram_spend_transformed,google_ads_spend_transformed,tv_spend_transformed,youtube_spend_transformed,newspaper_spend_transformed,influencer_spend_transformed,ott_spend_transformed
2022-03-01,0,BOGO,262550.0,54880.0,0.0,47580.0,57190.0,0.0,34610.0,0.0,1084031.0,0.9640320573598951,0.0,1.0635315330493762,1.268593838371211,0.0,1.1172754918529888,0.0
2022-03-08,0,Normal,310750.0,67170.0,0.0,60140.0,64150.0,0.0,18000.0,0.0,1225796.0,1.2447924577818559,0.0,1.5118658341737785,1.5870357093445229,0.0,0.988242566507719,0.0
2022-03-15,0,Flash Sale,361600.0,90520.0,0.0,52180.0,30710.0,0.0,48300.0,0.0,1445628.0,1.4855576058165982,0.0,1.6488611851787742,1.3681656696854736,0.0,1.4761175931609787,0.0
2022-03-22,0,Normal,293650.0,77800.0,0.0,41940.0,39610.0,0.0,49160.0,0.0,1445965.0,1.4644098076629652,0.0,1.6471957897703464,1.3715475642643324,0.0,1.5961193829856042,0.0
2022-03-29,0,Normal,343700.0,87050.0,0.0,29720.0,23430.0,0.0,34790.0,0.0,1370267.0,1.5196636844168858,0.0,1.5475849925824574,1.1705224337207838,0.0,1.4462989192053455,0.0
2022-04-05,0,Coupons,318300.0,52330.0,94970.0,58500.0,64970.0,8860.0,0.0,38860.0,2487650.0,1.2859426074535847,1.0962967900218712,1.7141450599996049,1.5671589148081913,1.2459672078897086,0.6801681480346146,0.8838727576924732
2022-04-12,0,Coupons,316400.0,69670.0,0.0,58780.0,50350.0,5540.0,0.0,53650.0,2679131.0,1.346737827625988,0.3354805365003781,1.8040471192765948,1.5617949175585955,1.3314503328315348,0.256394866966668,1.3384037185173143
2022-04-19,0,Coupons,280950.0,83670.0,87970.0,58780.0,58820.0,6810.0,0.0,55960.0,2748338.0,1.4648136746573976,1.0735954422454135,1.8543481220862372,1.6362049929990825,1.4578247771755088,0.08404594837918174,1.554558494132951
2022-04-26,0,Normal,311100.0,76520.0,105240.0,47180.0,46080.0,9660.0,0.0,34980.0,2683154.0,1.4492564699992876,1.2792007147611784,1.810443457846976,1.5504508251329505,1.676758258518628,0.025963668770778114,1.5081239350612554
2022-05-03,0,Normal,256600.0,0.0,60510.0,38380.0,31190.0,0.0,17330.0,59780.0,2584839.0,0.6820780339366341,1.025550272034123,1.7223659038472514,1.355663533560452,1.1550226135153003,0.711789460580326,1.666911456021203
2022-05-10,0,Normal,288150.0,0.0,109840.0,43110.0,62520.0,0.0,30810.0,62920.0,2501527.0,0.25727064829199536,1.298242236118831,1.7005680906077334,1.5985352762360159,0.7357504342955355,1.1448629830686468,1.771058486393409
2022-05-17,0,Coupons,345200.0,0.0,114340.0,31490.0,64830.0,0.0,18670.0,63460.0,2320027.0,0.08435818907259046,1.3691825818955046,1.597659820141449,1.7003013896054981,0.43406798339746,1.012316579715464,1.8318736223115115
2022-05-24,0,Normal,270800.0,0.0,84280.0,68600.0,24900.0,0.0,49430.0,74500.0,2359810.0,0.026062953353620726,1.210495244716981,1.8081792153313696,1.3617537117781173,0.24040326128855036,1.4957552498879385,1.9271890413665722
2022-05-31,0,Normal,226450.0,0.0,61770.0,68010.0,44420.0,6920.0,23650.0,73670.0,2320258.0,0.007890456940706315,1.0178895074091647,1.912580826732928,1.4222318701732044,1.121665425422477,1.2366589363995906,1.976105742985475
2022-06-07,1,Coupons,279350.0,0.0,91530.0,65890.0,59950.0,7270.0,16660.0,58930.0,2221923.0,0.0023736811785496736,1.1861158825517069,1.95851037308101,1.5969078172118614,1.4028774041493621,1.0017922979195912,1.9289860709644442
2022-06-14,0,Coupons,274300.0,0.0,74530.0,64010.0,32350.0,7690.0,40410.0,37340.0,2276577.0,0.0007126961487765444,1.104916000705999,1.9747409342032287,1.3914891973028953,1.543881897928273,1.3656060715403766,1.7739719873298543
2022-06-21,0,Coupons,330200.0,0.0,117930.0,68990.0,55360.0,6240.0,48910.0,62030.0,2367597.0,0.0002138621829594811,1.355499885977051,2.011277289263657,1.5438105256754473,1.5228760289696455,1.5647848298844769,1.8251301929124892
2022-06-28,0,BOGO,337900.0,93330.0,69560.0,38040.0,60880.0,9770.0,20130.0,0.0,2900439.0,1.3241240239458463,1.1103898287588363,1.8563015761618538,1.6474494971363427,1.7089809043882442,1.2031560935564234,1.4163776808691724
2022-07-05,0,BOGO,332250.0,55070.0,76560.0,68040.0,44120.0,5320.0,14850.0,0.0,2726334.0,1.2399764222458944,1.1032062160863985,1.93905102314238,1.5367017899033297,1.557841446741507,0.9483961785067416,1.0554601326042945
2022-07-12,0,BOGO,328900.0,56560.0,82740.0,41650.0,28570.0,5330.0,18890.0,0.0,2609397.0,1.2262924082246436,1.143956120340468,1.8296166482503844,1.3181492206055199,1.47338224944953,0.9543213782717644,0.7532908248104454
2022-07-19,0,Coupons,266250.0,69100.0,92830.0,50860.0,30790.0,5720.0,43240.0,0.0,2695776.0,1.3257905722876402,1.2166867105494494,1.8190867432556082,1.2443332256183817,1.4541111766049468,1.3983166879440523,0.5154470690532803
